Dataset,Rep,Depth,Tool,LengthBin,Truth,TP,Recall,tool_display
human_U_10000,rep1,sequencing_50X,CReSIL,>50kb,277,241,0.87,CReSIL
human_U_10000,rep2,sequencing_50X,CReSIL,>50kb,274,240,0.8759,CReSIL
human_U_10000,rep3,sequencing_50X,CReSIL,>50kb,242,212,0.876,CReSIL
human_U_10000,rep1,sequencing_50X,eccDNA_RCA,<1kb,5804,5188,0.8939,eccDNA_RCA_nanopore
human_U_10000,rep2,sequencing_50X,eccDNA_RCA,<1kb,5826,5207,0.8938,eccDNA_RCA_nanopore
human_U_10000,rep3,sequencing_50X,eccDNA_RCA,<1kb,5842,5226,0.8946,eccDNA_RCA_nanopore
human_U_10000,rep1,sequencing_50X,eccDNA_RCA,1-5kb,3558,3464,0.9736,eccDNA_RCA_nanopore
human_U_10000,rep2,sequencing_50X,eccDNA_RCA,1-5kb,3574,3458,0.9675,eccDNA_RCA_nanopore
human_U_10000,rep3,sequencing_50X,eccDNA_RCA,1-5kb,3562,3449,0.9683,eccDNA_RCA_nanopore
human_U_10000,rep1,sequencing_50X,eccDNA_RCA,5-50kb,361,175,0.4848,eccDNA_RCA_nanopore
human_U_10000,rep2,sequencing_50X,eccDNA_RCA,5-50kb,326,132,0.4049,eccDNA_RCA_nanopore
human_U_10000,rep3,sequencing_50X,eccDNA_RCA,5-50kb,354,151,0.4266,eccDNA_RCA_nanopore
human_U_10000,rep1,sequencing_50X,eccDNA_RCA,>50kb,277,0,0.0,eccDNA_RCA_nanopore
human_U_10000,rep2,sequencing_50X,eccDNA_RCA,>50kb,274,0,0.0,eccDNA_RCA_nanopore
human_U_10000,rep3,sequencing_50X,eccDNA_RCA,>50kb,242,0,0.0,eccDNA_RCA_nanopore
human_U_10000,rep1,sequencing_50X,CircleMap,<1kb,5804,4491,0.7738,Circle-Map
human_U_10000,rep2,sequencing_50X,CircleMap,<1kb,5826,4474,0.7679,Circle-Map
human_U_10000,rep3,sequencing_50X,CircleMap,<1kb,5842,4487,0.7681,Circle-Map
human_U_10000,rep1,sequencing_50X,CircleMap,1-5kb,3558,3408,0.9578,Circle-Map
human_U_10000,rep2,sequencing_50X,CircleMap,1-5kb,3574,3411,0.9544,Circle-Map
