Genome,Rep,Depth,Tool,EvalType,Truth,Detected,TP,FP,FN,Precision,Recall,F1,Redundancy,tool_display
human_23000,rep2,sequencing_50X,CReSIL,Uecc,20000,,16105,,3895,,0.8053,,,CReSIL
human_23000,rep3,sequencing_50X,CReSIL,Uecc,20000,,16242,,3758,,0.8121,,,CReSIL
human_23000,rep1,sequencing_50X,eccDNA_RCA,Uecc,20000,,17634,,2366,,0.8817,,4.32,eccDNA_RCA_nanopore
human_23000,rep2,sequencing_50X,eccDNA_RCA,Uecc,20000,,17549,,2451,,0.8774,,4.29,eccDNA_RCA_nanopore
human_23000,rep3,sequencing_50X,eccDNA_RCA,Uecc,20000,,17635,,2365,,0.8818,,4.33,eccDNA_RCA_nanopore
human_23000,rep1,sequencing_50X,CircleMap,Uecc,20000,,16920,,3080,,0.846,,,Circle-Map
human_23000,rep2,sequencing_50X,CircleMap,Uecc,20000,,16745,,3255,,0.8373,,,Circle-Map
human_23000,rep3,sequencing_50X,CircleMap,Uecc,20000,,16826,,3174,,0.8413,,,Circle-Map
human_23000,rep1,sequencing_50X,ecc_finder,Uecc,20000,,2367,,17633,,0.1183,,,ecc_finder
human_23000,rep2,sequencing_50X,ecc_finder,Uecc,20000,,2088,,17912,,0.1044,,,ecc_finder
human_23000,rep3,sequencing_50X,ecc_finder,Uecc,20000,,2306,,17694,,0.1153,,,ecc_finder
