Dataset,Rep,Depth,Tool,LengthBin,Truth,TP,Recall
ara_UMC_5200,rep3,sequencing_30X,eccDNA_RCA,1-5kb,1764,1381,0.7829
ara_UMC_5200,rep3,sequencing_30X,eccDNA_RCA,5-50kb,276,54,0.1957
ara_UMC_5200,rep3,sequencing_30X,eccDNA_RCA,>50kb,87,0,0.0
ara_UMC_5200,rep3,sequencing_30X,ecc_finder,<1kb,3073,5,0.0016
ara_UMC_5200,rep3,sequencing_30X,ecc_finder,1-5kb,1764,13,0.0074
ara_UMC_5200,rep3,sequencing_30X,ecc_finder,5-50kb,276,20,0.0725
ara_UMC_5200,rep3,sequencing_30X,ecc_finder,>50kb,87,34,0.3908
ara_UMC_5200,rep1,sequencing_50X,CircleMap,<1kb,3081,1798,0.5836
ara_UMC_5200,rep1,sequencing_50X,CircleMap,1-5kb,1742,1359,0.7801
ara_UMC_5200,rep1,sequencing_50X,CircleMap,5-50kb,269,108,0.4015
ara_UMC_5200,rep1,sequencing_50X,CircleMap,>50kb,108,91,0.8426
ara_UMC_5200,rep1,sequencing_50X,CircleSeeker,<1kb,3081,3034,0.9847
ara_UMC_5200,rep1,sequencing_50X,CircleSeeker,1-5kb,1742,1730,0.9931
ara_UMC_5200,rep1,sequencing_50X,CircleSeeker,5-50kb,269,233,0.8662
ara_UMC_5200,rep1,sequencing_50X,CircleSeeker,>50kb,108,51,0.4722
ara_UMC_5200,rep1,sequencing_50X,CReSIL,<1kb,3081,1361,0.4417
ara_UMC_5200,rep1,sequencing_50X,CReSIL,1-5kb,1742,867,0.4977
ara_UMC_5200,rep1,sequencing_50X,CReSIL,5-50kb,269,95,0.3532
ara_UMC_5200,rep1,sequencing_50X,CReSIL,>50kb,108,48,0.4444
ara_UMC_5200,rep1,sequencing_50X,CReSIL_HiFi,<1kb,3081,1429,0.4638
ara_UMC_5200,rep1,sequencing_50X,CReSIL_HiFi,1-5kb,1742,880,0.5052
ara_UMC_5200,rep1,sequencing_50X,CReSIL_HiFi,5-50kb,269,79,0.2937
ara_UMC_5200,rep1,sequencing_50X,CReSIL_HiFi,>50kb,108,50,0.463
ara_UMC_5200,rep1,sequencing_50X,eccDNA_RCA,<1kb,3081,2125,0.6897
ara_UMC_5200,rep1,sequencing_50X,eccDNA_RCA,1-5kb,1742,1413,0.8111
ara_UMC_5200,rep1,sequencing_50X,eccDNA_RCA,5-50kb,269,68,0.2528
