Tool,Dataset,Rep,Depth,Time_seconds,Memory_GB,CS_Internal_Time_seconds
eccDNA_RCA,ara_UMC_5200,rep2,sequencing_10X,116.0,4.03,
eccDNA_RCA,ara_UMC_5200,rep2,sequencing_30X,284.19,5.13,
eccDNA_RCA,ara_UMC_5200,rep2,sequencing_50X,440.94,5.0,
eccDNA_RCA,ara_UMC_5200,rep3,sequencing_10X,124.47,3.44,
eccDNA_RCA,ara_UMC_5200,rep3,sequencing_30X,282.78,4.57,
eccDNA_RCA,ara_UMC_5200,rep3,sequencing_50X,434.85,4.95,
eccDNA_RCA,human_23000,rep1,sequencing_10X,1449.56,13.49,
eccDNA_RCA,human_23000,rep1,sequencing_30X,2749.68,14.43,
eccDNA_RCA,human_23000,rep1,sequencing_50X,3987.0,14.55,
eccDNA_RCA,human_23000,rep2,sequencing_10X,1227.35,13.51,
eccDNA_RCA,human_23000,rep2,sequencing_30X,2491.38,13.72,
eccDNA_RCA,human_23000,rep2,sequencing_50X,4419.0,15.23,
eccDNA_RCA,human_23000,rep3,sequencing_10X,1487.0,13.07,
eccDNA_RCA,human_23000,rep3,sequencing_30X,2696.33,14.02,
eccDNA_RCA,human_23000,rep3,sequencing_50X,4225.0,14.77,
eccDNA_RCA,human_U_10000,rep1,sequencing_10X,619.53,12.84,
eccDNA_RCA,human_U_10000,rep1,sequencing_30X,1289.59,13.16,
eccDNA_RCA,human_U_10000,rep1,sequencing_50X,1841.43,13.21,
eccDNA_RCA,human_U_10000,rep2,sequencing_10X,665.03,12.39,
eccDNA_RCA,human_U_10000,rep2,sequencing_30X,1187.56,13.54,
eccDNA_RCA,human_U_10000,rep2,sequencing_50X,1785.33,13.72,
eccDNA_RCA,human_U_10000,rep3,sequencing_10X,644.83,12.49,
eccDNA_RCA,human_U_10000,rep3,sequencing_30X,1200.06,13.06,
eccDNA_RCA,human_U_10000,rep3,sequencing_50X,1849.97,13.08,
ecc_finder,ara_UMC_5200,rep1,sequencing_10X,343.64,1.96,
ecc_finder,ara_UMC_5200,rep1,sequencing_30X,966.96,6.32,
ecc_finder,ara_UMC_5200,rep1,sequencing_50X,1594.28,10.58,
ecc_finder,ara_UMC_5200,rep2,sequencing_10X,334.02,1.87,
ecc_finder,ara_UMC_5200,rep2,sequencing_30X,940.66,6.06,
ecc_finder,ara_UMC_5200,rep2,sequencing_50X,1636.24,10.14,
ecc_finder,ara_UMC_5200,rep3,sequencing_10X,351.2,1.78,
ecc_finder,ara_UMC_5200,rep3,sequencing_30X,1036.82,5.75,
ecc_finder,ara_UMC_5200,rep3,sequencing_50X,1565.95,9.63,
ecc_finder,human_23000,rep1,sequencing_10X,2064.61,10.84,
ecc_finder,human_23000,rep1,sequencing_30X,6378.0,33.01,
ecc_finder,human_23000,rep1,sequencing_50X,10831.0,55.32,
ecc_finder,human_23000,rep2,sequencing_10X,2128.92,11.39,
ecc_finder,human_23000,rep2,sequencing_30X,6497.0,34.68,
ecc_finder,human_23000,rep2,sequencing_50X,10858.0,58.13,
ecc_finder,human_23000,rep3,sequencing_10X,2175.14,10.78,
ecc_finder,human_23000,rep3,sequencing_30X,6411.0,32.82,
